"gene","community"
"KLK3","M2"
"PSCA","M2"
"MSLN","M2"
"AFP","M2"
"CEACAM6","M2"
"CAV1","M2"
"LEPR","M2"
"LEP","M2"
"LIFR","M2"
"SOCS3","M2"
"EPO","M2"
"IFNB1","M2"
"PCOLCE2","M2"
"CNTFR","M2"
"OLR1","M2"
"FGA","M2"
"CETP","M2"
"STAB2","M2"
"TF","M2"
"ITIH2","M2"
"GHR","M2"
"S100B","M2"
"INA","M2"
"ALDH1L1","M2"
"MRC1","M2"
"FGFR3","M2"
"ORM2","M2"
"LYVE1","M2"
"CD1A","M2"
"GRB14","M2"
"NRG2","M2"
"EPN3","M2"
"SPRY2","M2"
"AKAP12","M2"
"ESR2","M2"
"DLK1","M2"
"ANGPT4","M2"
"MYOM2","M2"
"ORM1","M2"
"IGFBP1","M2"
"KLB","M2"
"TYRO3","M2"
"CLEC4M","M2"
"CAVIN2","M2"
"DLX5","M2"
"WFIKKN2","M2"
"SAA2-SAA4","M2"
"EEF1A2","M2"
"FN1","M3"
"BMP2","M3"
"MMP1","M3"
"COL10A1","M3"
"COL11A1","M3"
"MMP10","M3"
"BGN","M3"
"HAPLN1","M3"
"ACAN","M3"
"MATN3","M3"
"SDC1","M3"
"PRG4","M3"
"ELANE","M3"
"MMP9","M3"
"SPP1","M3"
"MMP13","M3"
"DDR2","M3"
"POSTN","M3"
"ASPN","M3"
"CTHRC1","M3"
"TNMD","M3"
"IBSP","M3"
"COL5A1","M3"
"COL5A2","M3"
"DMP1","M3"
"MMP3","M3"
"COL1A1","M3"
"VCAN","M3"
"ADAMTS5","M3"
"TNXB","M3"
"OGN","M3"
"COMP","M3"
"MMP11","M3"
"MMP12","M3"
"TIMP4","M3"
"CCN4","M3"
"TNS1","M3"
"SCUBE3","M3"
"TGFBR3","M3"
"HPSE2","M3"
"TNR","M3"
"ADAMTS1","M3"
"H2BC6","M4"
"H2BC7","M4"
"H2BC4","M4"
"H4C8","M4"
"H4C11","M4"
"H4C5","M4"
"H2BC8","M4"
"H4C4","M4"
"H4C9","M4"
"H4C15","M4"
"H4C14","M4"
"SOX2","M4"
"H2BC5","M4"
"H1-5","M4"
"H1-2","M4"
"H3C1","M4"
"H3C14","M4"
"H3C10","M4"
"H3C8","M4"
"H3C15","M4"
"KLF4","M4"
"H2AC14","M4"
"H3C4","M4"
"H2AC11","M4"
"H2BC9","M4"
"H2AC21","M4"
"H2BC14","M4"
"H2BC17","M4"
"H2AC17","M4"
"H2AC13","M4"
"H2AC7","M4"
"H2AC16","M4"
"H3C7","M4"
"H3C11","M4"
"H2BC11","M4"
"H2AC4","M4"
"FOXD3","M4"
"H2BC13","M4"
"H2BU1","M4"
"H1-3","M4"
"SOX11","M4"
"ANGPTL4","M5"
"SLC2A4","M5"
"CLDN5","M5"
"LPL","M5"
"CD36","M5"
"GPAM","M5"
"FABP4","M5"
"LIPE","M5"
"PLPP4","M5"
"PNPLA2","M5"
"MOGAT1","M5"
"GPIHBP1","M5"
"ADIPOQ","M5"
"PPARG","M5"
"MLXIPL","M5"
"CIDEC","M5"
"PLIN1","M5"
"PLIN4","M5"
"DGAT2","M5"
"CIDEA","M5"
"MGLL","M5"
"PCK1","M5"
"AWAT1","M5"
"CEBPA","M5"
"GPD1","M5"
"RBP4","M5"
"AQP7","M5"
"THRSP","M5"
"PDK4","M5"
"ITLN1","M5"
"PFKFB1","M5"
"G0S2","M5"
"GP2","M5"
"GNAI1","M6"
"ADRB2","M6"
"PENK","M6"
"GPRASP1","M6"
"ADRB3","M6"
"GNAT3","M6"
"GNGT1","M6"
"GNG4","M6"
"GNG11","M6"
"RGS7","M6"
"HTR1E","M6"
"KCNJ3","M6"
"GNG13","M6"
"HTR1D","M6"
"RGS4","M6"
"OXTR","M6"
"KCNJ6","M6"
"EDN3","M6"
"AVPR2","M6"
"GPR17","M6"
"EDN2","M6"
"GPR158","M6"
"RGS6","M6"
"OPRD1","M6"
"P2RY12","M6"
"GPR139","M6"
"PTH1R","M6"
"NOS1","M7"
"CALML5","M7"
"SGCA","M7"
"CAV3","M7"
"DMD","M7"
"CACNA1B","M7"
"CACNG6","M7"
"TMEM249","M7"
"CACNA1H","M7"
"CACNG1","M7"
"ANK2","M7"
"RYR3","M7"
"TRDN","M7"
"SNTG2","M7"
"SGCG","M7"
"SGCZ","M7"
"ANXA1","M7"
"CAV2","M7"
"CASQ2","M7"
"JPH2","M7"
"TRIM72","M7"
"DTX1","M7"
"HSH2D","M7"
"RGN","M7"
"MYLK2","M7"
"CCL13","M8"
"CCL20","M8"
"CXCL10","M8"
"CXCL9","M8"
"CCL11","M8"
"CXCL2","M8"
"CXCL11","M8"
"CCR8","M8"
"CCL21","M8"
"PF4","M8"
"CCL7","M8"
"CXCL3","M8"
"CX3CL1","M8"
"CCL24","M8"
"PPBP","M8"
"CXCL17","M8"
"CCL28","M8"
"CCL16","M8"
"CCL14","M8"
"GBP5","M8"
"ULBP1","M8"
